"""name""","""born""","""type""","""roles""","""title""","""released""","""tagline"""
"""Emil Eifrem""",1978,"""ACTED_IN""","""Emil;""","""The Matrix""",1999,"""Welcome to the Real World"""
"""Laurence Fishburne""",1960,"""ACTED_IN""","""Agent Smith;""","""The Matrix""",1999,"""Welcome to the Real World"""
"""Carrie-Anne Moss""",1961,"""ACTED_IN""","""Morpheus;""","""The Matrix""",1999,"""Welcome to the Real World"""
"""Joel Silver""",1964,"""ACTED_IN""","""Neo;""","""The Matrix""",1999,"""Welcome to the Real World"""
"""Laurence Fishburne""",1960,"""ACTED_IN""","""Agent Smith;""","""The Matrix Reloaded""",2003,"""Free your mind"""
"""Carrie-Anne Moss""",1961,"""ACTED_IN""","""Morpheus;""","""The Matrix Reloaded""",2003,"""Free your mind"""
"""Keanu Reeves""",1967,"""ACTED_IN""","""Trinity;""","""The Matrix Reloaded""",2003,"""Free your mind"""
"""Lana Wachowski""",1964,"""ACTED_IN""","""Neo;""","""The Matrix Reloaded""",2003,"""Free your mind"""
"""Lilly Wachowski""",1960,"""ACTED_IN""","""Agent Smith;""","""The Matrix Revolutions""",2003,"""Everything that has a beginning has an end"""
"""Laurence Fishburne""",1967,"""ACTED_IN""","""Trinity;""","""The Matrix Revolutions""",2003,"""Everything that has a beginning has an end"""
"""Keanu Reeves""",1961,"""ACTED_IN""","""Morpheus;""","""The Matrix Revolutions""",2003,"""Everything that has a beginning has an end"""
"""Al Pacino""",1964,"""ACTED_IN""","""Neo;""","""The Matrix Revolutions""",2003,"""Everything that has a beginning has an end"""
"""Taylor Hackford""",1940,"""ACTED_IN""","""John Milton;""","""The Devil's Advocate""",1997,"""Evil has its winning ways"""
"""Keanu Reeves""",1944,"""DIRECTED""",null,"""The Devil's Advocate""",1997,"""Evil has its winning ways"""
"""Charlize Theron""",1964,"""ACTED_IN""","""Kevin Lomax;""","""The Devil's Advocate""",1997,"""Evil has its winning ways"""
"""Aaron Sorkin""",1975,"""ACTED_IN""","""Mary Ann Lomax;""","""The Devil's Advocate""",1997,"""Evil has its winning ways"""
"""Christopher Guest""",1961,"""ACTED_IN""","""Man in Bar;""","""A Few Good Men""",1992,"""In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth."""
"""Aaron Sorkin""",1948,"""ACTED_IN""","""Dr. Stone;""","""A Few Good Men""",1992,"""In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth."""
"""Cuba Gooding Jr.""",1957,"""ACTED_IN""","""Lt. Sam Weinberg;""","""A Few Good Men""",1992,"""In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth."""
"""James Marshall""",1968,"""ACTED_IN""","""Cpl. Carl Hammaker;""","""A Few Good Men""",1992,"""In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth."""
"""J.T. Walsh""",1967,"""ACTED_IN""","""Pfc. Louden Downey;""","""A Few Good Men""",1992,"""In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth."""
"""Kiefer Sutherland""",1943,"""ACTED_IN""","""Lt. Col. Matthew Andrew Markinson;""","""A Few Good Men""",1992,"""In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth."""
"""Noah Wyle""",1966,"""ACTED_IN""","""Lt. Jonathan Kendrick;""","""A Few Good Men""",1992,"""In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth."""
"""Demi Moore""",1971,"""ACTED_IN""","""Cpl. Jeffrey Barnes;""","""A Few Good Men""",1992,"""In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth."""
"""Kevin Bacon""",1962,"""ACTED_IN""","""Lt. Cdr. JoAnne Galloway;""","""A Few Good Men""",1992,"""In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth."""
